Sample,Taxon,Reads,Domain
Mcav-cntrl-17,Bacteria;(Bacteria);(Bacteria);(Bacteria),21,Bacteria
Mcav-cntrl-17,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast,12,Bacteria
Mcav-cntrl-17,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,19,Bacteria
Mcav-cntrl-17,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,9,Bacteria
Mcav-cntrl-17,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,5,Bacteria
Mcav-cntrl-17,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,4,Bacteria
Mcav-cntrl-17,Eukaryota;(Eukaryota);(Eukaryota);(Eukaryota),1109,Eukaryota
Mcav-cntrl-17,Eukaryota;Amorphea;Obazoa;Opisthokonta,28061,Eukaryota
Mcav-cntrl-17,Eukaryota;Amorphea;(Amorphea);(Amorphea),840,Eukaryota
Mcav-cntrl-17,Eukaryota;Amorphea;Amoebozoa;Discosea,175,Eukaryota
Mcav-cntrl-17,Eukaryota;Amorphea;Amoebozoa;Incertae Sedis,8,Eukaryota
Mcav-cntrl-17,Eukaryota;Archaeplastida;Chloroplastida;Charophyta,178,Eukaryota
Mcav-cntrl-17,Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta,106,Eukaryota
Mcav-cntrl-17,Eukaryota;Archaeplastida;Chloroplastida;(Chloroplastida),13,Eukaryota
Mcav-cntrl-17,Eukaryota;SAR;Alveolata;Apicomplexa,33,Eukaryota
Mcav-cntrl-17,Eukaryota;SAR;Stramenopiles;Ochrophyta,15,Eukaryota
Mcav-cntrl-17,Eukaryota;SAR;Alveolata;Dinoflagellata,11,Eukaryota
Mcav-cntrl-17,Eukaryota;SAR;Alveolata;Ciliophora,5,Eukaryota
Mcav-dis-ch20,Bacteria;(Bacteria);(Bacteria);(Bacteria),25,Bacteria
Mcav-dis-ch20,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales,4,Bacteria
Mcav-dis-ch20,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast,8,Bacteria
Mcav-dis-ch20,Bacteria;Firmicutes;Bacilli;Lactobacillales,5,Bacteria
Mcav-dis-ch20,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,8,Bacteria
Mcav-dis-ch20,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,6,Bacteria
Mcav-dis-ch20,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,4,Bacteria
Mcav-dis-ch20,Eukaryota;(Eukaryota);(Eukaryota);(Eukaryota),652,Eukaryota
Mcav-dis-ch20,Eukaryota;Amorphea;Obazoa;Opisthokonta,26151,Eukaryota
Mcav-dis-ch20,Eukaryota;Amorphea;(Amorphea);(Amorphea),507,Eukaryota
Mcav-dis-ch20,Eukaryota;Amorphea;Amoebozoa;Discosea,108,Eukaryota
Mcav-dis-ch20,Eukaryota;Archaeplastida;Chloroplastida;Charophyta,221,Eukaryota
Mcav-dis-ch20,Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta,86,Eukaryota
Mcav-dis-ch20,Eukaryota;Archaeplastida;Chloroplastida;(Chloroplastida),27,Eukaryota
Mcav-dis-ch20,Eukaryota;Archaeplastida;Rhodophyceae;Bangiales,5,Eukaryota
Mcav-dis-ch20,Eukaryota;SAR;Alveolata;Apicomplexa,12,Eukaryota
Mcav-dis-ch20,Eukaryota;SAR;Alveolata;Dinoflagellata,11,Eukaryota
Mcav-dis-ch20,Eukaryota;SAR;Stramenopiles;Ochrophyta,8,Eukaryota
Mcav-dis-ch20,Eukaryota;SAR;Rhizaria;Retaria,5,Eukaryota
Mcav-dis-ch22,Bacteria;(Bacteria);(Bacteria);(Bacteria),10,Bacteria
Mcav-dis-ch22,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast,19,Bacteria
Mcav-dis-ch22,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,11,Bacteria
Mcav-dis-ch22,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,6,Bacteria
Mcav-dis-ch22,Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),4,Bacteria
Mcav-dis-ch22,Eukaryota;(Eukaryota);(Eukaryota);(Eukaryota),1593,Eukaryota
Mcav-dis-ch22,Eukaryota;Amorphea;Obazoa;Opisthokonta,33631,Eukaryota
Mcav-dis-ch22,Eukaryota;Amorphea;(Amorphea);(Amorphea),1075,Eukaryota
Mcav-dis-ch22,Eukaryota;Amorphea;Amoebozoa;Discosea,176,Eukaryota
Mcav-dis-ch22,Eukaryota;Archaeplastida;Chloroplastida;Charophyta,320,Eukaryota
Mcav-dis-ch22,Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta,151,Eukaryota
Mcav-dis-ch22,Eukaryota;Archaeplastida;Rhodophyceae;Bangiales,10,Eukaryota
Mcav-dis-ch22,Eukaryota;Archaeplastida;Chloroplastida;(Chloroplastida),7,Eukaryota
Mcav-dis-ch22,Eukaryota;SAR;Alveolata;Dinoflagellata,117,Eukaryota
Mcav-dis-ch22,Eukaryota;SAR;Alveolata;Apicomplexa,56,Eukaryota
Mcav-dis-ch22,Eukaryota;SAR;Stramenopiles;Ochrophyta,11,Eukaryota
Mcav-dis-ch22,Eukaryota;SAR;Stramenopiles;(Stramenopiles),6,Eukaryota